comunidad_autonoma,edad,genero,actividad_fisica,asistencia_cine,asistencia_directos,asistencia_cultural,asistencia_deporte,dias_alta_contaminacion,homicidios_100mhabit,criminalidad_1000habit,estudios,estado_civil,horasTrabajadas_mes,salario_anual,satisf_hospitales,satisf_dentistas,satisf_especialistas,satisf_medGeneral,frecuencia_felicidad
Extremadura,28,mujer,nivel_moderado,no,si,si,no,3.5172,0.4454,36.7282,educacion_superior,soltero/a,153.4804,21847.167,hospitales_neutral,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,57,mujer,nivel_alto,no,si,no,si,4.1351,0.0,19.7253,primero_secundaria,casado/a,204.0556,36303.8082,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,54,mujer,nivel_moderado,no,no,si,no,4.1913,0.218,46.0795,educacion_superior,casado/a,150.5107,23574.6329,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,67,mujer,nivel_alto,no,no,no,no,3.1953,0.5331,41.5438,educacion_superior,casado/a,162.076,11118.9004,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,37,hombre,nivel_bajo,si,no,no,no,3.2835,0.612,37.4078,primaria,soltero/a,165.5501,14023.3948,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,42,hombre,nivel_alto,no,si,no,si,2.8558,0.3179,24.5927,educacion_superior,soltero/a,100.581,24175.2764,hospitales_muy_insatisfecho/a,dentistas_neutral,especialistas_muy_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,67,mujer,nivel_bajo,no,si,no,no,4.5003,0.5669,30.2937,primero_secundaria,casado/a,109.0703,21711.4458,hospitales_muy_satisfecho/a,dentistas_neutral,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,45,mujer,nivel_moderado,no_puede,no,si,no,5.2047,0.5532,52.7214,primaria,soltero/a,162.3434,24627.7251,hospitales_muy_satisfecho/a,dentistas_neutral,especialistas_neutral,medGeneral_neutral,algunas_veces
Extremadura,59,hombre,nivel_alto,si,no,no,no,1.2394,0.2413,16.0281,estudios_primarios_incompletos,viudo/a,187.4754,21008.4286,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,57,mujer,nivel_moderado,no,no,no,no,3.9992,0.3495,50.6403,primero_secundaria,soltero/a,168.769,26342.0102,hospitales_neutral,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,59,mujer,nivel_moderado,si,no,si,no,0.0,0.74,41.3443,estudios_primarios_incompletos,casado/a,162.9174,20865.7224,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,79,mujer,nivel_moderado,si,si,si,no,4.1842,0.5239,23.5904,primaria,casado/a,143.315,21226.0806,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,45,hombre,nivel_alto,no,no,si,no,5.3186,0.1187,35.5938,primero_secundaria,soltero/a,202.9111,7770.0456,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,algunas_veces
Extremadura,58,hombre,nivel_bajo,si,no,no,no,3.5334,0.5326,45.8436,analfabetos,soltero/a,147.6453,22883.0043,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_insatisfecho/a,muy_a_menudo
Extremadura,41,hombre,nivel_alto,si,no,no_puede,no,5.8766,0.2998,32.9381,primaria,casado/a,130.7923,28365.4842,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,nunca
Extremadura,14,hombre,nivel_moderado,no,no,no,si,3.5761,0.4399,26.2302,primero_secundaria,casado/a,161.2222,17602.1478,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,62,hombre,nivel_moderado,si,si,no,no,0.0,0.6038,42.1805,segundo_secundaria_general,casado/a,132.4411,24979.287,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,27,mujer,nivel_alto,si,no,no,no,1.0586,0.4157,36.951,primero_secundaria,casado/a,143.6777,22576.8566,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,68,hombre,nivel_bajo,si,si,no_puede,no_puede,2.7099,0.1141,41.2358,educacion_superior,casado/a,101.0911,16634.8021,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,76,mujer,nivel_alto,no,no,si,no,6.501,0.2008,10.7832,educacion_superior,soltero/a,190.62,13411.9357,hospitales_neutral,dentistas_neutral,especialistas_insatisfecho/a,medGeneral_neutral,algunas_veces
Extremadura,56,mujer,nivel_alto,si,si,si,si,1.2555,0.4873,47.4474,educacion_superior,divorciado/a,256.5744,30188.7083,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,26,hombre,nivel_bajo,no,no_puede,si,si,1.0487,0.312,32.2745,segundo_secundaria_profesional,casado/a,114.0245,25525.7001,hospitales_neutral,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_insatisfecho/a,muy_a_menudo
Extremadura,35,hombre,nivel_moderado,no,no,si,no,7.6686,0.0528,39.2375,primero_secundaria,soltero/a,174.8879,24700.7469,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,44,mujer,nivel_moderado,no_puede,no,no,no,3.219,0.1899,51.0792,primero_secundaria,soltero/a,117.5549,13978.8073,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,16,hombre,nivel_moderado,no,no,no,si,3.4898,0.1263,35.9449,analfabetos,separado/a,104.2719,36074.563,hospitales_neutral,dentistas_neutral,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,49,mujer,nivel_bajo,no,no,no,no,4.8574,0.486,30.0706,educacion_superior,viudo/a,122.7448,15074.4699,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,54,mujer,nivel_alto,no,si,no,no_puede,2.6237,0.3462,45.7426,educacion_superior,casado/a,12.9222,18835.2512,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_insatisfecho/a,muy_a_menudo
Extremadura,35,hombre,nivel_alto,si,no_puede,no,si,4.1467,0.0195,39.3137,segundo_secundaria_general,viudo/a,107.2218,21125.8553,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,27,hombre,nivel_alto,si,si,si,no,1.6033,0.6542,46.4519,primero_secundaria,casado/a,96.8111,18780.3518,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,17,mujer,nivel_bajo,no,no,si,no_puede,4.7629,0.4464,37.3109,primero_secundaria,soltero/a,179.5819,26572.6742,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,58,mujer,nivel_alto,no,no,si,no_puede,3.8847,0.4777,40.2742,educacion_superior,casado/a,179.1388,21026.5922,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,13,mujer,nivel_moderado,no,no,no,no,2.2145,0.1329,55.4157,segundo_secundaria_general,casado/a,220.3535,20406.2367,hospitales_neutral,dentistas_neutral,especialistas_satisfecho/a,medGeneral_muy_insatisfecho/a,muy_a_menudo
Extremadura,37,hombre,nivel_moderado,no,no,no,no,4.3277,0.567,35.0871,primaria,casado/a,191.5315,20633.5767,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,30,mujer,nivel_alto,no,si,no,si,4.9616,0.3312,28.4316,estudios_primarios_incompletos,soltero/a,141.4334,24180.8727,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_muy_satisfecho/a,algunas_veces
Extremadura,53,hombre,nivel_alto,no,no,no,no,6.2414,0.0,36.1648,primero_secundaria,soltero/a,105.3177,23759.3621,hospitales_neutral,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,64,mujer,nivel_alto,no,si,no_puede,si,7.5289,0.4621,23.2814,primero_secundaria,soltero/a,137.7209,25966.8654,hospitales_neutral,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,75,mujer,nivel_moderado,no,si,no_puede,no,2.153,0.0406,20.9387,primero_secundaria,casado/a,167.4432,21930.3449,hospitales_neutral,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,55,mujer,nivel_moderado,no,si,no,no,2.3852,0.0245,22.407,educacion_superior,soltero/a,148.6231,17736.1397,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,92,mujer,nivel_moderado,no,no,no,no,1.3922,0.2981,25.1123,segundo_secundaria_general,casado/a,150.5655,29386.9828,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,88,mujer,nivel_bajo,si,no,no,no,1.3959,0.9015,15.664,primero_secundaria,casado/a,157.2683,34793.5616,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,56,mujer,nivel_alto,no,no,si,si,2.9778,0.5982,20.2829,primaria,separado/a,217.866,16537.5795,hospitales_muy_insatisfecho/a,dentistas_insatisfecho/a,especialistas_insatisfecho/a,medGeneral_insatisfecho/a,muy_a_menudo
Extremadura,31,hombre,nivel_alto,no,no,no,no,4.2384,0.8951,36.6188,segundo_secundaria_profesional,soltero/a,154.2145,13777.3679,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_neutral,algunas_veces
Extremadura,45,mujer,nivel_bajo,si,no,no,no,2.2163,0.5526,41.3128,primero_secundaria,divorciado/a,235.0452,23701.8836,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_muy_insatisfecho/a,muy_a_menudo
Extremadura,29,mujer,nivel_alto,no,si,no,no,7.4547,0.6144,41.2177,primero_secundaria,soltero/a,141.5365,31373.5837,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,93,mujer,nivel_moderado,si,no,no,no,5.2462,0.1348,34.1422,educacion_superior,casado/a,102.2076,9680.1648,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,48,hombre,nivel_alto,no,no,no_puede,no,1.0271,0.0,40.5542,primero_secundaria,soltero/a,128.4413,30945.7114,hospitales_satisfecho/a,dentistas_insatisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,61,hombre,nivel_alto,no,si,si,si,2.0828,0.0,33.2816,primero_secundaria,casado/a,192.4832,21649.9856,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,12,hombre,nivel_alto,no,no,no_puede,no,1.3703,0.5905,12.9926,educacion_superior,casado/a,142.5099,15224.5746,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,24,hombre,nivel_moderado,no,no,no,no,3.4846,0.3319,28.9073,educacion_superior,viudo/a,112.8475,11872.8069,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_muy_satisfecho/a,algunas_veces
Extremadura,28,hombre,nivel_moderado,si,si,no,no_puede,4.0295,0.4244,26.6566,primero_secundaria,casado/a,114.2714,15628.7604,hospitales_muy_insatisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,30,hombre,nivel_alto,no,no,no,si,8.2689,0.1074,9.4811,segundo_secundaria_general,divorciado/a,119.4082,20554.053,hospitales_insatisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,38,hombre,nivel_moderado,no,no,no,no,3.2029,0.803,44.3358,educacion_superior,soltero/a,121.1014,21655.1562,hospitales_neutral,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,30,mujer,nivel_moderado,no,si,no,no,1.4364,0.653,40.4859,primaria,casado/a,180.3085,14267.9421,hospitales_muy_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,algunas_veces
Extremadura,48,mujer,nivel_moderado,no,no,si,no,2.9114,0.2358,44.7709,primaria,divorciado/a,175.2698,16208.6069,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,43,mujer,nivel_moderado,no,no,si,no,3.1684,1.1093,32.1257,segundo_secundaria_general,viudo/a,102.8336,14040.755,hospitales_satisfecho/a,dentistas_neutral,especialistas_insatisfecho/a,medGeneral_muy_insatisfecho/a,muy_a_menudo
Extremadura,20,hombre,nivel_alto,si,no,no,no,4.5309,0.6928,38.3692,primero_secundaria,casado/a,55.6071,6193.7878,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,17,hombre,nivel_moderado,no,si,no,no,6.3091,0.0,23.2433,educacion_superior,casado/a,126.4304,18502.702,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_insatisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,43,hombre,nivel_alto,no,si,no_puede,no,4.4781,0.0,27.9513,primero_secundaria,casado/a,167.8335,21169.3523,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_insatisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,17,mujer,nivel_alto,no,si,si,no,2.8134,0.0465,40.49,segundo_secundaria_general,casado/a,90.7536,15716.1487,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_muy_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,45,hombre,nivel_moderado,si,no_puede,si,no,3.937,0.2891,47.964,segundo_secundaria_general,soltero/a,144.2643,25041.3158,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,11,mujer,nivel_bajo,si,no,no,no,5.3551,0.3676,15.1899,segundo_secundaria_general,casado/a,133.7986,18278.5086,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,51,mujer,nivel_moderado,si,si,si,no,3.7644,0.5449,45.1788,segundo_secundaria_profesional,casado/a,173.0814,21069.4338,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,19,hombre,nivel_alto,si,no,si,no,3.3736,0.3843,59.3618,segundo_secundaria_general,soltero/a,206.9102,18463.6819,hospitales_muy_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,62,mujer,nivel_moderado,si,no_puede,no,no,3.5661,0.7035,57.1924,educacion_superior,casado/a,184.9694,10352.363,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,44,mujer,nivel_moderado,no,no,no,no,3.8999,0.4038,20.3426,estudios_primarios_incompletos,soltero/a,109.3672,20775.2275,hospitales_neutral,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,93,mujer,nivel_alto,no,si,si,no,0.5316,0.2187,13.6201,primero_secundaria,casado/a,124.29,13765.1068,hospitales_satisfecho/a,dentistas_neutral,especialistas_satisfecho/a,medGeneral_muy_satisfecho/a,muy_a_menudo
Extremadura,30,hombre,nivel_moderado,no,no_puede,no,no,2.9111,0.6856,18.9651,educacion_superior,viudo/a,142.1154,12871.1609,hospitales_satisfecho/a,dentistas_muy_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,47,mujer,nivel_moderado,no_puede,si,si,si,2.0359,0.5298,41.6018,primero_secundaria,soltero/a,111.8797,21265.8249,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_neutral,muy_a_menudo
Extremadura,60,hombre,nivel_bajo,no,no,no,si,2.8831,0.3549,19.6413,primero_secundaria,casado/a,70.8976,9364.6373,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,35,mujer,nivel_moderado,no_puede,si,si,no,0.0,0.1931,22.8139,primero_secundaria,casado/a,107.7855,25553.6835,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,35,mujer,nivel_moderado,si,no,si,no,5.3909,1.0098,24.8754,segundo_secundaria_general,soltero/a,123.0592,21471.2537,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,57,hombre,nivel_alto,no,si,si,no,2.4841,0.3324,68.715,educacion_superior,casado/a,162.59,23146.4225,hospitales_muy_insatisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
Extremadura,87,mujer,nivel_alto,no_puede,no,no,si,2.4299,0.1456,22.2674,primero_secundaria,divorciado/a,227.3054,28736.3321,hospitales_insatisfecho/a,dentistas_satisfecho/a,especialistas_neutral,medGeneral_satisfecho/a,muy_a_menudo
Extremadura,76,hombre,nivel_moderado,no_puede,no,no,no,4.6843,0.1171,35.3932,primero_secundaria,soltero/a,161.7778,23515.1901,hospitales_satisfecho/a,dentistas_satisfecho/a,especialistas_satisfecho/a,medGeneral_satisfecho/a,algunas_veces
