comunidad_autonoma,edad,genero,actividad_fisica,asistencia_cine,asistencia_directos,asistencia_cultural,asistencia_deporte,dias_alta_contaminacion,estudios,estado_civil,horasTrabajadas_mes,salario_anual,satisf_hospitales,satisf_dentistas,satisf_especialistas,satisf_medGeneral,percepcion_seguridad
Extremadura,37,hombre,nivel_moderado,no_puede,si,si,si,3.7953,primero_secundaria,divorciado/a,83.7739,7508.6727,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.123003698516035
Extremadura,37,hombre,nivel_moderado,no,si,no,no,2.8194,educacion_superior,casado/a,166.5756,17682.8343,neutral,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,7.935157110444406
Extremadura,30,hombre,nivel_alto,no,no,si,no,5.0184,primero_secundaria,soltero/a,133.0471,18700.5317,satisfecho/a,neutral,muy_insatisfecho/a,neutral,8.545104986453508
Extremadura,12,mujer,nivel_bajo,no,si,si,no,1.5143,primero_secundaria,soltero/a,0.0,0.0,satisfecho/a,neutral,insatisfecho/a,satisfecho/a,8.019350836163916
Extremadura,46,mujer,nivel_moderado,no,si,no,no,1.2998,educacion_superior,soltero/a,145.8673,23382.5416,satisfecho/a,satisfecho/a,satisfecho/a,insatisfecho/a,7.950581805861826
Extremadura,15,mujer,nivel_alto,no,no,no,no,1.3879,primaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.387069994675081
Extremadura,52,mujer,nivel_moderado,no_puede,si,no,no_puede,1.6948,estudios_primarios_incompletos,soltero/a,187.7833,29209.0077,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.558158905320159
Extremadura,17,mujer,nivel_bajo,si,no,si,no,2.8796,estudios_primarios_incompletos,soltero/a,190.0639,22757.7134,neutral,satisfecho/a,muy_satisfecho/a,satisfecho/a,7.58798501529605
Extremadura,39,hombre,nivel_alto,si,no,no_puede,no_puede,4.6629,primero_secundaria,divorciado/a,134.07,25763.6157,insatisfecho/a,neutral,satisfecho/a,muy_satisfecho/a,7.075749907664196
Extremadura,46,hombre,nivel_bajo,no,no,si,no,4.4474,segundo_secundaria_profesional_,soltero/a,205.9283,26323.0104,satisfecho/a,neutral,satisfecho/a,neutral,7.647385028588695
Extremadura,77,mujer,nivel_bajo,no,no_puede,si,no,8.8606,segundo_secundaria_general,casado/a,102.1898,23372.845,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.330990407129406
Extremadura,19,hombre,nivel_moderado,no,no_puede,no,no,4.6608,primaria,soltero/a,129.4921,20891.0669,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.702976501438355
Extremadura,21,mujer,nivel_alto,no,no,no,no,6.0224,primero_secundaria,soltero/a,111.2818,22295.0942,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.793407710201596
Extremadura,66,mujer,nivel_alto,si,no_puede,si,no,4.4651,educacion_superior,divorciado/a,174.0828,35575.8991,satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.207739419694246
Extremadura,14,hombre,nivel_alto,si,no,no,no,1.506,primaria,soltero/a,0.0,0.0,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.505464529860973
Extremadura,76,mujer,nivel_bajo,no,no_puede,no,no,3.4062,educacion_superior,casado/a,77.8938,18791.5984,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.110016570268792
Extremadura,54,mujer,nivel_alto,si,no,no,si,2.4472,estudios_primarios_incompletos,soltero/a,204.982,21224.4577,muy_insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.191875253188947
Extremadura,32,hombre,nivel_alto,no,no,no_puede,si,1.8015,segundo_secundaria_general,casado/a,145.1327,31099.6387,satisfecho/a,neutral,satisfecho/a,muy_satisfecho/a,7.981495338898717
Extremadura,71,mujer,nivel_moderado,si,no,no,si,3.7813,segundo_secundaria_profesional_,viudo/a,178.896,16847.0945,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.096236238384318
Extremadura,68,mujer,nivel_bajo,no,si,no,no,4.086,primero_secundaria,casado/a,121.7646,22249.3561,neutral,satisfecho/a,satisfecho/a,satisfecho/a,8.586903577967362
Extremadura,39,hombre,nivel_alto,si,si,si,si,4.112,primero_secundaria,casado/a,163.0231,21102.6113,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,7.762873229778863
Extremadura,66,hombre,nivel_alto,si,si,si,no,4.675,segundo_secundaria_general,casado/a,122.0459,27426.9184,insatisfecho/a,satisfecho/a,muy_satisfecho/a,neutral,7.886978316891955
Extremadura,28,mujer,nivel_moderado,no,si,si,no,3.5172,educacion_superior,soltero/a,153.4804,21847.167,neutral,satisfecho/a,neutral,satisfecho/a,7.829222021518489
Extremadura,57,mujer,nivel_alto,no,si,no,si,4.1351,primero_secundaria,casado/a,204.0556,36303.8082,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,9.023969654205995
Extremadura,54,mujer,nivel_moderado,no,no,si,no,4.1913,educacion_superior,casado/a,150.5107,23574.6329,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.546950850553696
Extremadura,67,mujer,nivel_alto,no,no,no,no,3.1953,educacion_superior,casado/a,162.076,11118.9004,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.521350720703775
Extremadura,37,hombre,nivel_bajo,si,no,no,no,3.2835,primaria,soltero/a,165.5501,14023.3948,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.663397596426044
Extremadura,42,hombre,nivel_alto,no,si,no,si,2.8558,educacion_superior,soltero/a,100.581,24175.2764,muy_insatisfecho/a,neutral,muy_satisfecho/a,muy_satisfecho/a,8.530871610672008
Extremadura,67,mujer,nivel_bajo,no,si,no,no,4.5003,primero_secundaria,casado/a,109.0703,21711.4458,muy_satisfecho/a,neutral,muy_satisfecho/a,satisfecho/a,8.051198214146407
Extremadura,45,mujer,nivel_moderado,no_puede,no,si,no,5.2047,primaria,soltero/a,162.3434,24627.7251,muy_satisfecho/a,neutral,neutral,neutral,6.952320978784735
Extremadura,59,hombre,nivel_alto,si,no,no,no,1.2394,estudios_primarios_incompletos,viudo/a,187.4754,21008.4286,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,9.01543986206396
Extremadura,57,mujer,nivel_moderado,no,no,no,no,3.9992,primero_secundaria,soltero/a,168.769,26342.0102,neutral,neutral,satisfecho/a,satisfecho/a,7.216932059696447
Extremadura,59,mujer,nivel_moderado,si,no,si,no,0.0,estudios_primarios_incompletos,casado/a,162.9174,20865.7224,muy_satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,7.367047130522032
Extremadura,79,mujer,nivel_bajo,si,si,si,no,4.1842,primaria,casado/a,143.315,21226.0806,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.417005629976572
Extremadura,45,hombre,nivel_alto,no,no,si,no,5.3186,primero_secundaria,soltero/a,202.9111,7770.0456,satisfecho/a,satisfecho/a,satisfecho/a,neutral,8.14458976353039
Extremadura,58,hombre,nivel_bajo,si,no,no,no,3.5334,analfabetos,soltero/a,147.6453,22883.0043,satisfecho/a,satisfecho/a,satisfecho/a,muy_insatisfecho/a,7.308988461497906
Extremadura,41,hombre,nivel_alto,si,no,no_puede,no,5.8766,primaria,casado/a,130.7923,28365.4842,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,satisfecho/a,8.132294042270669
Extremadura,14,hombre,nivel_moderado,no,no,no,si,3.5761,primero_secundaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.353039285275825
Extremadura,62,hombre,nivel_moderado,si,si,no,no,0.0,segundo_secundaria_general,casado/a,132.4411,24979.287,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.433745653067335
Extremadura,27,mujer,nivel_alto,si,no,no,no,1.0586,primero_secundaria,casado/a,143.6777,22576.8566,neutral,satisfecho/a,satisfecho/a,neutral,7.841764562988151
Extremadura,68,hombre,nivel_bajo,si,si,no_puede,no_puede,2.7099,educacion_superior,casado/a,101.0911,16634.8021,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.8690672657676455
Extremadura,76,mujer,nivel_bajo,no,no,si,no,6.501,educacion_superior,soltero/a,190.62,13411.9357,neutral,neutral,insatisfecho/a,neutral,9.307100233085492
Extremadura,56,mujer,nivel_alto,si,si,si,si,1.2555,educacion_superior,divorciado/a,256.5744,30188.7083,satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,7.265576142134171
Extremadura,26,hombre,nivel_bajo,no,no_puede,si,si,1.0487,segundo_secundaria_profesional_,casado/a,114.0245,25525.7001,neutral,muy_satisfecho/a,satisfecho/a,insatisfecho/a,8.15544903153719
Extremadura,35,hombre,nivel_moderado,no,no,si,no,7.6686,primero_secundaria,soltero/a,174.8879,24700.7469,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.016586957942106
Extremadura,44,mujer,nivel_moderado,no_puede,no,no,no,3.219,primero_secundaria,soltero/a,117.5549,13978.8073,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.3218573312950355
Extremadura,16,hombre,nivel_moderado,no,no,no,si,3.4898,analfabetos,soltero/a,104.2719,36074.563,neutral,neutral,satisfecho/a,muy_satisfecho/a,8.121186337663715
Extremadura,49,mujer,nivel_bajo,no,no,no,no,4.8574,educacion_superior,viudo/a,122.7448,15074.4699,muy_satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.126431578404105
Extremadura,54,mujer,nivel_alto,no,si,no,no_puede,2.6237,educacion_superior,casado/a,12.9222,18835.2512,neutral,satisfecho/a,satisfecho/a,muy_insatisfecho/a,7.461894391634798
Extremadura,35,hombre,nivel_alto,si,no_puede,no,si,4.1467,segundo_secundaria_general,viudo/a,107.2218,21125.8553,satisfecho/a,satisfecho/a,satisfecho/a,neutral,8.03924003338999
Extremadura,27,hombre,nivel_alto,si,si,si,no,1.6033,primero_secundaria,casado/a,96.8111,18780.3518,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,7.182399526030213
Extremadura,17,mujer,nivel_bajo,no,no,si,no_puede,4.7629,primero_secundaria,soltero/a,179.5819,26572.6742,satisfecho/a,muy_satisfecho/a,satisfecho/a,neutral,7.799595861147936
Extremadura,58,mujer,nivel_alto,no,no,si,no_puede,3.8847,educacion_superior,casado/a,179.1388,21026.5922,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.628131857667798
Extremadura,13,mujer,nivel_moderado,no,no,no,no,2.2145,primero_secundaria,soltero/a,0.0,0.0,neutral,neutral,satisfecho/a,muy_insatisfecho/a,7.1525118444969475
Extremadura,37,hombre,nivel_moderado,no,no,no,no,4.3277,primaria,casado/a,191.5315,20633.5767,satisfecho/a,satisfecho/a,muy_satisfecho/a,neutral,7.8139359640718675
Extremadura,30,mujer,nivel_alto,no,si,no,si,4.9616,estudios_primarios_incompletos,soltero/a,141.4334,24180.8727,satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,8.330364914059638
Extremadura,53,hombre,nivel_alto,no,no,no,no,6.2414,primero_secundaria,soltero/a,105.3177,23759.3621,neutral,satisfecho/a,satisfecho/a,neutral,8.210524440714666
Extremadura,64,mujer,nivel_alto,no,si,no_puede,si,7.5289,primero_secundaria,soltero/a,137.7209,25966.8654,neutral,satisfecho/a,neutral,satisfecho/a,8.481333580893955
Extremadura,75,mujer,nivel_moderado,no,si,no_puede,no,2.153,primero_secundaria,casado/a,167.4432,21930.3449,neutral,neutral,satisfecho/a,satisfecho/a,8.931713152185303
Extremadura,55,mujer,nivel_moderado,no,si,no,no,2.3852,educacion_superior,soltero/a,148.6231,17736.1397,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.871835337589163
Extremadura,92,mujer,nivel_bajo,no,no,no,no,1.3922,segundo_secundaria_general,casado/a,150.5655,29386.9828,satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.520872503021177
Extremadura,88,mujer,nivel_bajo,si,no,no,no,1.3959,primero_secundaria,casado/a,157.2683,34793.5616,satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.50958747591608
Extremadura,56,mujer,nivel_alto,no,no,si,si,2.9778,primaria,separado/a,217.866,16537.5795,muy_insatisfecho/a,insatisfecho/a,insatisfecho/a,insatisfecho/a,8.521707478974786
Extremadura,31,hombre,nivel_alto,no,no,no,no,4.2384,segundo_secundaria_profesional_,soltero/a,154.2145,13777.3679,satisfecho/a,neutral,satisfecho/a,neutral,7.4777984653256055
Extremadura,45,mujer,nivel_bajo,si,no,no,no,2.2163,primero_secundaria,divorciado/a,235.0452,23701.8836,satisfecho/a,satisfecho/a,satisfecho/a,muy_insatisfecho/a,7.5173076210271015
Extremadura,29,mujer,nivel_alto,no,si,no,no,7.4547,primero_secundaria,soltero/a,141.5365,31373.5837,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.472974999090031
Extremadura,93,mujer,nivel_bajo,si,no,no,no,5.2462,educacion_superior,casado/a,102.2076,9680.1648,satisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,8.203641243075872
Extremadura,48,hombre,nivel_alto,no,no,no_puede,no,1.0271,primero_secundaria,soltero/a,128.4413,30945.7114,satisfecho/a,insatisfecho/a,satisfecho/a,satisfecho/a,7.993331921471451
Extremadura,61,hombre,nivel_alto,no,si,si,si,2.0828,primero_secundaria,casado/a,192.4832,21649.9856,muy_satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.353188465748165
Extremadura,12,hombre,nivel_alto,no,no,no_puede,no,1.3703,primero_secundaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.888549786754538
Extremadura,24,hombre,nivel_moderado,no,no,no,no,3.4846,educacion_superior,viudo/a,112.8475,11872.8069,satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,8.30627128564545
Extremadura,28,hombre,nivel_moderado,si,si,no,no_puede,4.0295,primero_secundaria,casado/a,114.2714,15628.7604,muy_insatisfecho/a,satisfecho/a,neutral,satisfecho/a,8.344239771444942
Extremadura,30,hombre,nivel_alto,no,no,no,si,8.2689,segundo_secundaria_general,divorciado/a,119.4082,20554.053,insatisfecho/a,muy_satisfecho/a,satisfecho/a,neutral,9.445642493856838
Extremadura,38,hombre,nivel_moderado,no,no,no,no,3.2029,educacion_superior,soltero/a,121.1014,21655.1562,neutral,satisfecho/a,neutral,satisfecho/a,7.169033819940251
Extremadura,30,mujer,nivel_moderado,no,si,no,no,1.4364,primaria,casado/a,180.3085,14267.9421,muy_satisfecho/a,muy_satisfecho/a,neutral,satisfecho/a,7.478556211373542
Extremadura,48,mujer,nivel_moderado,no,no,si,no,2.9114,primaria,divorciado/a,175.2698,16208.6069,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.597577577564318
Extremadura,43,mujer,nivel_moderado,no,no,si,no,3.1684,segundo_secundaria_general,viudo/a,102.8336,14040.755,satisfecho/a,neutral,insatisfecho/a,muy_insatisfecho/a,7.530154553651181
Extremadura,20,hombre,nivel_alto,si,no,no,no,4.5309,primero_secundaria,casado/a,55.6071,6193.7878,satisfecho/a,satisfecho/a,satisfecho/a,neutral,7.551711655911792
Extremadura,17,hombre,nivel_moderado,no,si,no,no,6.3091,segundo_secundaria_profesional_,soltero/a,126.4304,18502.702,satisfecho/a,satisfecho/a,muy_insatisfecho/a,neutral,8.849895001019311
Extremadura,43,hombre,nivel_alto,no,si,no_puede,no,4.4781,primero_secundaria,casado/a,167.8335,21169.3523,satisfecho/a,satisfecho/a,insatisfecho/a,satisfecho/a,8.616937790330592
Extremadura,17,mujer,nivel_alto,no,si,si,no,2.8134,segundo_secundaria_general,soltero/a,90.7536,15716.1487,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,7.959610876943118
Extremadura,45,hombre,nivel_moderado,si,no_puede,si,no,3.937,segundo_secundaria_general,soltero/a,144.2643,25041.3158,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.397285815619066
Extremadura,11,mujer,nivel_bajo,si,no,no,no,5.3551,primaria,soltero/a,0.0,0.0,satisfecho/a,neutral,satisfecho/a,satisfecho/a,8.95669594834369
Extremadura,51,mujer,nivel_moderado,si,si,si,no,3.7644,segundo_secundaria_profesional_,casado/a,173.0814,21069.4338,satisfecho/a,satisfecho/a,satisfecho/a,neutral,7.332123478168253
Extremadura,19,hombre,nivel_alto,si,no,si,no,3.3736,segundo_secundaria_general,soltero/a,206.9102,18463.6819,muy_satisfecho/a,satisfecho/a,satisfecho/a,neutral,6.757768502725516
Extremadura,62,mujer,nivel_moderado,si,no_puede,no,no,3.5661,educacion_superior,casado/a,184.9694,10352.363,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,6.611827800931385
Extremadura,44,mujer,nivel_moderado,no,no,no,no,3.8999,estudios_primarios_incompletos,soltero/a,109.3672,20775.2275,neutral,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.673009786998746
Extremadura,93,mujer,nivel_bajo,no,si,si,no,0.5316,primero_secundaria,casado/a,124.29,13765.1068,satisfecho/a,neutral,satisfecho/a,muy_satisfecho/a,9.152523541118692
Extremadura,30,hombre,nivel_moderado,no,no_puede,no,no,2.9111,educacion_superior,viudo/a,142.1154,12871.1609,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.517561856780516
Extremadura,47,mujer,nivel_moderado,no_puede,si,si,si,2.0359,primero_secundaria,soltero/a,111.8797,21265.8249,satisfecho/a,satisfecho/a,satisfecho/a,neutral,7.5210993633876475
Extremadura,60,hombre,nivel_bajo,no,no,no,si,2.8831,primero_secundaria,casado/a,70.8976,9364.6373,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.746513043939402
Extremadura,35,mujer,nivel_moderado,no_puede,si,si,no,0.0,primero_secundaria,casado/a,107.7855,25553.6835,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.717917420279706
Extremadura,35,mujer,nivel_moderado,si,no,si,no,5.3909,segundo_secundaria_general,soltero/a,123.0592,21471.2537,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.967860883749578
Extremadura,57,hombre,nivel_alto,no,si,si,no,2.4841,educacion_superior,casado/a,162.59,23146.4225,muy_insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,6.336144128867325
Extremadura,87,mujer,nivel_bajo,no_puede,no,no,si,2.4299,primero_secundaria,divorciado/a,227.3054,28736.3321,insatisfecho/a,satisfecho/a,neutral,satisfecho/a,8.782650097119816
Extremadura,76,hombre,nivel_bajo,no_puede,no,no,no,4.6843,primero_secundaria,soltero/a,161.7778,23515.1901,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.155785279807823
Extremadura,41,mujer,nivel_moderado,no,no,no,no,4.8563,primero_secundaria,viudo/a,126.4832,28451.0703,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.3375631234411784
Extremadura,62,hombre,nivel_moderado,no,no,no_puede,no,4.7058,primaria,casado/a,203.5264,11137.8755,muy_satisfecho/a,muy_satisfecho/a,satisfecho/a,neutral,7.7492097796486865
Extremadura,56,hombre,nivel_alto,no,no,si,si,7.6681,educacion_superior,soltero/a,159.268,30355.5237,satisfecho/a,satisfecho/a,insatisfecho/a,muy_satisfecho/a,8.01164446165468
Extremadura,42,mujer,nivel_alto,si,no,no,no,6.2125,educacion_superior,casado/a,115.3004,10938.8039,neutral,satisfecho/a,satisfecho/a,neutral,8.103964246011857
Extremadura,31,mujer,nivel_bajo,no,no_puede,no_puede,no_puede,3.9959,educacion_superior,casado/a,155.8482,24561.8282,satisfecho/a,satisfecho/a,satisfecho/a,muy_insatisfecho/a,8.382180903782102
Extremadura,16,hombre,nivel_alto,si,no,no,no,2.5926,primero_secundaria,soltero/a,169.5883,16098.3824,satisfecho/a,neutral,neutral,satisfecho/a,8.483109892439415
Extremadura,73,mujer,nivel_alto,no,no_puede,no,no,4.315,primero_secundaria,soltero/a,233.8746,17771.9518,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.697000408229556
Extremadura,16,mujer,nivel_alto,no,si,no_puede,no,5.3605,primero_secundaria,soltero/a,93.7639,22361.0293,satisfecho/a,neutral,satisfecho/a,neutral,8.161071124892308
Extremadura,51,hombre,nivel_moderado,no,no,no,no,5.7795,educacion_superior,viudo/a,201.6698,29748.9759,satisfecho/a,satisfecho/a,neutral,neutral,7.639752600633615
Extremadura,54,hombre,nivel_alto,no,no,si,no,5.9984,educacion_superior,soltero/a,100.8341,19187.7491,satisfecho/a,neutral,satisfecho/a,satisfecho/a,8.104923471047943
Extremadura,24,mujer,nivel_alto,no_puede,no,si,no,2.539,primaria,soltero/a,157.1903,3792.117,satisfecho/a,satisfecho/a,neutral,satisfecho/a,8.476283374311866
Extremadura,57,hombre,nivel_moderado,si,no,no,no,2.0033,segundo_secundaria_general,viudo/a,153.2855,27245.6308,satisfecho/a,satisfecho/a,insatisfecho/a,neutral,8.743926189971955
Extremadura,78,mujer,nivel_bajo,no,si,no,no,6.9099,estudios_primarios_incompletos,soltero/a,75.8466,14360.4454,satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,8.166277241042645
Extremadura,66,hombre,nivel_alto,no,no,no_puede,no,2.3237,educacion_superior,soltero/a,166.2388,8080.6956,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.354231561710469
Extremadura,40,hombre,nivel_alto,no,si,no,no,4.8554,educacion_superior,soltero/a,113.9515,30044.3469,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.5705810937228915
Extremadura,24,hombre,nivel_alto,no,no,no,no,6.4372,estudios_primarios_incompletos,casado/a,203.2518,21384.3047,muy_insatisfecho/a,neutral,neutral,muy_satisfecho/a,6.714215816707824
Extremadura,86,hombre,nivel_bajo,no,no,si,no,3.4598,primero_secundaria,soltero/a,91.7221,24832.6519,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.941672002296634
Extremadura,50,mujer,nivel_alto,si,si,no,si,3.5925,primero_secundaria,casado/a,117.2394,26881.8949,satisfecho/a,neutral,satisfecho/a,neutral,7.599426599970368
Extremadura,58,mujer,nivel_alto,no,no,si,no,3.0109,primero_secundaria,casado/a,156.3602,10663.9416,satisfecho/a,neutral,satisfecho/a,satisfecho/a,8.062327304670127
Extremadura,67,mujer,nivel_alto,no,no,no_puede,no,3.7059,primero_secundaria,soltero/a,172.2606,0.0,neutral,satisfecho/a,satisfecho/a,satisfecho/a,8.206912180646107
Extremadura,42,hombre,nivel_bajo,si,no_puede,no_puede,si,1.8826,educacion_superior,casado/a,81.7493,10842.2524,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,neutral,8.574040026458396
Extremadura,16,hombre,nivel_bajo,no,si,no_puede,si,5.27,primaria,soltero/a,137.3644,18800.0133,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.72687279313916
Extremadura,21,hombre,nivel_alto,no,no_puede,no_puede,si,0.0,segundo_secundaria_general,casado/a,111.8278,25584.4798,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.910840450806097
Extremadura,57,mujer,nivel_alto,no_puede,no,si,no,5.5444,educacion_superior,casado/a,162.902,22875.0293,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.081384951741246
Extremadura,35,hombre,nivel_moderado,no,si,no,no,3.2812,educacion_superior,casado/a,94.1232,22706.3109,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.545459688805578
Extremadura,70,mujer,nivel_moderado,no,si,no,no,6.8365,primero_secundaria,viudo/a,156.5095,12576.8004,insatisfecho/a,satisfecho/a,muy_insatisfecho/a,satisfecho/a,8.047452743232991
Extremadura,62,mujer,nivel_alto,no,no,no,no,0.0,educacion_superior,soltero/a,139.761,20985.9648,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.603851219564952
Extremadura,85,mujer,nivel_bajo,no_puede,no,si,no,5.4268,educacion_superior,soltero/a,204.7257,17954.4001,satisfecho/a,satisfecho/a,insatisfecho/a,neutral,8.782102090423386
Extremadura,55,mujer,nivel_moderado,no,no,si,si,1.622,educacion_superior,casado/a,105.7816,24487.4996,muy_insatisfecho/a,satisfecho/a,neutral,satisfecho/a,8.498820348747682
Extremadura,35,hombre,nivel_alto,si,no,si,no,3.34,estudios_primarios_incompletos,viudo/a,137.3896,21361.2935,neutral,satisfecho/a,neutral,satisfecho/a,8.36099560048248
Extremadura,69,hombre,nivel_moderado,no,si,no,no,4.2774,primero_secundaria,viudo/a,177.1837,18110.5403,neutral,insatisfecho/a,satisfecho/a,satisfecho/a,7.8598240314639245
Extremadura,11,mujer,nivel_alto,no,no,si,no,2.5458,primaria,soltero/a,0.0,0.0,neutral,satisfecho/a,insatisfecho/a,muy_satisfecho/a,8.338064850963466
Extremadura,51,hombre,nivel_moderado,no,si,no,si,4.316,educacion_superior,soltero/a,150.1415,17233.1957,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.446136180638781
Extremadura,72,mujer,nivel_bajo,no,si,no,no,4.0794,segundo_secundaria_general,divorciado/a,168.6817,28421.352,satisfecho/a,neutral,neutral,muy_satisfecho/a,8.740772832853722
Extremadura,50,mujer,nivel_alto,no,si,no,no,2.847,primaria,casado/a,97.9411,22050.5605,neutral,satisfecho/a,insatisfecho/a,neutral,8.212019724948862
